,num_expediente,fecha,hora,localizacion,numero,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
1305,2020S009305,04/07/2020,11:45:00,"CALL. EMBAJADORES, 330",330,PUENTE DE VALLECAS,Caída,Clear,Bicicleta,Conductor,De 65 a 69 años,Hombre,,40.370795908495325,-3.6805338375680288,N,
1306,2020S009314,03/07/2020,20:15:00,CALLE VIGIL - CALLE BOYER,1,VICÁLVARO,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 25 a 29 años,Hombre,1.0,40.40492807439444,-3.5862407935084946,N,
1307,2020S009316,03/07/2020,1:45:00,CALL. HORTALEZA / CALL. MEJIA LEQUERICA,112,CENTRO,Colisión lateral,Clear,Bicicleta,Conductor,De 21 a 24 años,Mujer,7.0,40.425779325681496,-3.697221843982426,N,
1308,2020S009334,04/07/2020,19:45:00,"PASEO. GINEBRA, 26",26,SAN BLAS-CANILLEJAS,Alcance,Clear,Bicicleta,Conductor,De 15 a 17 años,Hombre,7.0,40.42259816658352,-3.6020108142397724,N,
1309,2020S009345,05/07/2020,0:20:00,"CALL. SANTA ENGRACIA, 93",93,CHAMBERÍ,Caída,Clear,Bicicleta,Conductor,De 21 a 24 años,Hombre,7.0,40.43632044017,-3.6995453078001956,N,
1310,2020S009385,05/07/2020,23:45:00,CUSTA. SAN VICENTE / PLAZA. ESPAÑA,2,MONCLOA-ARAVACA,Choque contra obstáculo fijo,Clear,Bicicleta,Conductor,De 18 a 20 años,Hombre,2.0,40.421849537510575,-3.7136189480325688,N,
1311,2020S009393,05/07/2020,14:10:00,CALL. MEZQUITE / CALL. SABAL,4,ARGANZUELA,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 25 a 29 años,Hombre,1.0,40.39666434695883,-3.682478906301145,N,
1312,2020S009410,06/07/2020,11:50:00,"CALL. O'DONNELL, 2",2,RETIRO,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 50 a 54 años,Hombre,,40.421271474923515,-3.6811721314876706,N,
1313,2020S009414,06/07/2020,11:00:00,"CALL. CAMINO DE LOS VINATEROS, 11",11,MORATALAZ,Atropello a persona,Clear,Bicicleta,Conductor,De 21 a 24 años,Hombre,14.0,40.410833501413045,-3.6568676328811005,N,
1314,2020S009414,06/07/2020,11:00:00,"CALL. CAMINO DE LOS VINATEROS, 11",11,MORATALAZ,Atropello a persona,Clear,Bicicleta,Peatón,De 40 a 44 años,Hombre,2.0,40.410833501413045,-3.6568676328811005,N,
